Med	Gen	Rep	Perm	FY
8	20	4	80	0.2
8	21	1	81	NA
8	21	2	82	NA
8	21	3	83	NA
8	21	4	84	0.4
8	22	1	85	20.99
8	22	2	86	13.59
8	22	3	87	18.39
8	22	4	88	0.05
8	23	1	89	12.59
8	23	2	90	15.79
8	23	3	91	12.39
8	23	4	92	0.99
8	24	1	93	17.45
8	24	2	94	8.79
8	24	3	95	7.72
8	24	4	96	0.8
9	1	1	1	25.05
9	1	2	2	61.66
9	1	3	3	26.86
9	1	4	4	64.87
9	2	1	5	37.96
9	2	2	6	35.03
9	2	3	7	44.78
9	2	4	8	28
9	3	1	9	9.85
9	3	2	10	52.66
9	3	3	11	19.85
9	3	4	12	21.44
9	4	1	13	85.5
9	4	2	14	41.63
9	4	3	15	43.66
9	4	4	16	57.81
9	5	1	17	10.07
9	5	2	18	NA
9	5	3	19	9.54
9	5	4	20	8.52
9	6	1	21	20.92
9	6	2	22	32.59
9	6	3	23	13.38
9	6	4	24	23.14
9	7	1	25	28.72
9	7	2	26	57.19
9	7	3	27	40.13
9	7	4	28	24.48
9	8	1	29	23.74
9	8	2	30	16.91
9	8	3	31	25.94
9	8	4	32	NA
9	9	1	33	NA
9	9	2	34	0.74
9	9	3	35	0.61
9	9	4	36	0.73
9	10	1	37	14.17
9	10	2	38	25.36
9	10	3	39	10.56
9	10	4	40	22.61
9	11	1	41	45.85
9	11	2	42	62.53
9	11	3	43	23.93
9	11	4	44	45.59
9	12	1	45	7.87
9	12	2	46	10.97
9	12	3	47	11.92
9	12	4	48	16.4
9	13	1	49	27.94
9	13	2	50	63.35
9	13	3	51	28.72
9	13	4	52	44.37
9	14	1	53	23.2
9	14	2	54	63.64
9	14	3	55	41.89
9	14	4	56	48.49
9	15	1	57	39.14
9	15	2	58	58.47
9	15	3	59	58.21
9	15	4	60	45.15
9	16	1	61	19.85
9	16	2	62	48.06
9	16	3	63	50.55
9	16	4	64	98.49
9	17	1	65	15.58
9	17	2	66	13.68
9	17	3	67	19.78
9	17	4	68	29.29
9	18	1	69	61.1
9	18	2	70	45.37
9	18	3	71	70.65
9	18	4	72	26.68
9	19	1	73	46.4
9	19	2	74	50.81
9	19	3	75	27.39
9	19	4	76	55.17
9	20	1	77	35.19
9	20	2	78	10.6
9	20	3	79	52.36
9	20	4	80	54.79
9	21	1	81	4.03
9	21	2	82	NA
9	21	3	83	NA
9	21	4	84	1.51
9	22	1	85	77.78
9	22	2	86	46.43
9	22	3	87	74.99
9	22	4	88	38.42
9	23	1	89	25.37
9	23	2	90	71.76
9	23	3	91	61.38
9	23	4	92	45.4
9	24	1	93	17.52
9	24	2	94	47.11
9	24	3	95	23.3
9	24	4	96	28.85
10	1	1	1	10.895
10	1	2	2	21.71
10	1	3	3	42.3
10	1	4	4	21.76
10	2	1	5	17.92
10	2	2	6	13.72
10	2	3	7	10.115
10	2	4	8	6.2
10	3	1	9	4.425
10	3	2	10	12.655
10	3	3	11	10.115
10	3	4	12	12.95
10	4	1	13	33.13
10	4	2	14	20.2
10	4	3	15	43.17
10	4	4	16	31.325
